region,goat-fraction
USA,0.306669099
Africa_Eastern,0.503347871
Africa_Northern,0.236862201
Africa_Southern,0.779279288
Africa_Western,0.585238449
Australia_NZ,0.022089811
Brazil,0.391259719
Canada,0.030755982
Central America and Caribbean,0.533427993
Central Asia,0.263927971
China,0.972364381
EU-12,0.150981852
EU-15,0.107032504
Europe_Eastern,0.370331771
Europe_Non_EU,0.201741883
European Free Trade Association,0.042195407
India ,0.665802191
Indonesia,0.609413365
Japan,0.638596491
Mexico,0.553684581
Middle East,0.314449759
Pakistan,0.681734455
Russia,0.12694693
South Africa,0.200537939
South America_Northern,0.678454532
South America_Southern,0.114087989
South Asia,0.827834227
South Korea,0.997342753
Southeast Asia,0.928180627
Taiwan,0
Argentina,0.215782352
Colombia,0.29198975
AK,0.306669099
AL,0.306669099
AR,0.306669099
AZ,0.306669099
CA,0.306669099
CO,0.306669099
CT,0.306669099
DC,0.306669099
DE,0.306669099
FL,0.306669099
GA,0.306669099
HI,0.306669099
IA,0.306669099
ID,0.306669099
IL,0.306669099
IN,0.306669099
KS,0.306669099
KY,0.306669099
LA,0.306669099
MA,0.306669099
MD,0.306669099
ME,0.306669099
MI,0.306669099
MN,0.306669099
MO,0.306669099
MS,0.306669099
MT,0.306669099
NC,0.306669099
ND,0.306669099
NE,0.306669099
NH,0.306669099
NJ,0.306669099
NM,0.306669099
NV,0.306669099
NY,0.306669099
OH,0.306669099
OK,0.306669099
OR,0.306669099
PA,0.306669099
RI,0.306669099
SC,0.306669099
SD,0.306669099
TN,0.306669099
TX,0.306669099
UT,0.306669099
VA,0.306669099
VT,0.306669099
WA,0.306669099
WI,0.306669099
WV,0.306669099
WY,0.306669099
